class name,coverage
ASI_HK_CRM_Sales_Order_Item_AfterDelete,0
ASI_HK_CRM_SalesOrder_BeforeUpdate,0
ASI_HK_CRM_SalesOrder_BeforeInsert,0
ASI_HK_CRM_SalesOrder_AfterUpdate,0
ASI_HK_CRM_SalesOrder_AfterUndelete,0
ASI_HK_CRM_PreApprovalForm_BeforeUpdate,0
ASI_HK_CRM_PreApprovalForm_BeforeInsert,0
ASI_HK_CRM_PreApprovalFormItem_BeforeUpdate,0
ASI_HK_CRM_PreApprovalFormItem_BeforeInsert,0
ASI_HK_CRM_PreApprovalFormItem_AfterUpdate,0
ASI_HK_CRM_PreApprovalFormItem_AfterUndelete,0
ASI_HK_CRM_PreApprovalFormItem_AfterInsert,0
ASI_HK_CRM_PreApprovalFormItem_AfterDelete,0
ASI_HK_CRM_Contact_AfterUpdate,100
ASI_HK_CRM_Contact_AfterUndelete,0
ASI_HK_CRM_Contact_AfterInsert,100
ASI_HK_CRM_Contact_AfterDelete,0
ASI_HK_CRM_Account_BeforeUpdate,75
ASI_HK_CRM_Account_BeforeInsert,90
ASI_GiftBox_RequestItemBeforeUpdate,0
ASI_GiftBox_RequestItemBeforeInsert,0
ASI_GiftBox_RequestItemBeforeDelete,0
ASI_GiftBox_RequestItemAfterUpdate,0
ASI_GiftBox_RequestItemAfterInsert,0
ASI_GiftBox_RequestHeaderBeforeUpdate,0
ASI_GiftBox_OrderItemBeforeInsert,0
ASI_GiftBox_GoodReceiptAfterInsert,0
ASI_FOC_Request_Item_BeforeUpdate,71.43
ASI_FOC_Request_Item_BeforeInsert,71.43
ASI_FOC_Request_Item_AfterUpdate,77.78
ASI_FOC_Request_Item_AfterInsert,77.78
ASI_FOC_Free_Goods_Request_BeforeUpdate,55.56
ASI_FOC_Free_Goods_Request_BeforeInsert,41.67
ASI_FOC_Free_Goods_Request_AfterUpdate,72.73
ASI_FOC_Free_Goods_Request_AfterDelete,50
ASI_CRM_TestClassUtilityHelperPROS,90.31
ASI_CN_NPL_ProductDocument_AfterDelete,100
ASI_CN_NPL_NewProductLaunchRequest_BeforeUpdate,100
ASI_CN_NPL_NewProductLaunchRequest_BeforeInsert,100
ASI_CN_NPL_NewProductLaunchRequest_AfterUpdate,92.86
ASI_CN_NPL_NewProductLaunchRequest_AfterInsert,100
